% Piezometers data from files waterDepth_10min_pzb.csv 
Date ; Hour CET winter time ; Water table depth Pz2b (m) ; Water table depth Pz5b (m) 
01/11/2020 ; 00:00:00 ;    1.55 ;    6.18 
01/11/2020 ; 01:00:00 ;    1.55 ;    6.18 
01/11/2020 ; 02:00:00 ;    1.55 ;    6.18 
01/11/2020 ; 03:00:00 ;    1.56 ;    6.18 
01/11/2020 ; 04:00:00 ;    1.55 ;    6.18 
01/11/2020 ; 05:00:00 ;    1.56 ;    6.18 
01/11/2020 ; 06:00:00 ;    1.56 ;    6.17 
01/11/2020 ; 07:00:00 ;    1.56 ;    6.18 
01/11/2020 ; 08:00:00 ;    1.56 ;    6.17 
01/11/2020 ; 09:00:00 ;    1.56 ;    6.17 
01/11/2020 ; 10:00:00 ;    1.56 ;    6.17 
01/11/2020 ; 11:00:00 ;    1.56 ;    6.17 
01/11/2020 ; 12:00:00 ;    1.55 ;    6.17 
01/11/2020 ; 13:00:00 ;    1.55 ;    6.16 
01/11/2020 ; 14:00:00 ;    1.55 ;    6.17 
01/11/2020 ; 15:00:00 ;    1.55 ;    6.17 
01/11/2020 ; 16:00:00 ;    1.54 ;    6.16 
01/11/2020 ; 17:00:00 ;    1.54 ;    6.16 
01/11/2020 ; 18:00:00 ;    1.54 ;    6.16 
01/11/2020 ; 19:00:00 ;    1.53 ;    6.16 
01/11/2020 ; 20:00:00 ;    1.53 ;    6.15 
01/11/2020 ; 21:00:00 ;    1.54 ;    6.15 
01/11/2020 ; 22:00:00 ;    1.54 ;    6.15 
01/11/2020 ; 23:00:00 ;    1.54 ;    6.15 
02/11/2020 ; 00:00:00 ;    1.55 ;    6.15 
02/11/2020 ; 01:00:00 ;    1.55 ;    6.15 
02/11/2020 ; 02:00:00 ;    1.54 ;    6.15 
02/11/2020 ; 03:00:00 ;    1.54 ;    6.14 
02/11/2020 ; 04:00:00 ;    1.55 ;    6.14 
02/11/2020 ; 05:00:00 ;    1.55 ;    6.14 
02/11/2020 ; 06:00:00 ;    1.55 ;    6.14 
02/11/2020 ; 07:00:00 ;    1.55 ;    6.13 
02/11/2020 ; 08:00:00 ;    1.55 ;    6.13 
02/11/2020 ; 09:00:00 ;    1.55 ;    6.13 
02/11/2020 ; 10:00:00 ;    1.55 ;    6.13 
02/11/2020 ; 11:00:00 ;    1.55 ;    6.12 
02/11/2020 ; 12:00:00 ;    1.55 ;    6.12 
02/11/2020 ; 13:00:00 ;    1.55 ;    6.12 
02/11/2020 ; 14:00:00 ;    1.55 ;    6.12 
02/11/2020 ; 15:00:00 ;    1.55 ;    6.11 
02/11/2020 ; 16:00:00 ;    1.55 ;    6.11 
02/11/2020 ; 17:00:00 ;    1.55 ;    6.11 
02/11/2020 ; 18:00:00 ;    1.56 ;    6.11 
02/11/2020 ; 19:00:00 ;    1.56 ;    6.10 
02/11/2020 ; 20:00:00 ;    1.56 ;    6.10 
02/11/2020 ; 21:00:00 ;    1.56 ;    6.10 
02/11/2020 ; 22:00:00 ;    1.56 ;    6.10 
02/11/2020 ; 23:00:00 ;    1.56 ;    6.09 
03/11/2020 ; 00:00:00 ;    1.56 ;    6.09 
03/11/2020 ; 01:00:00 ;    1.56 ;    6.09 
03/11/2020 ; 02:00:00 ;    1.57 ;    6.09 
03/11/2020 ; 03:00:00 ;    1.57 ;    6.09 
03/11/2020 ; 04:00:00 ;    1.57 ;    6.09 
03/11/2020 ; 05:00:00 ;    1.57 ;    6.08 
03/11/2020 ; 06:00:00 ;    1.57 ;    6.08 
