Rain [mm/h];Snow [mm/h]
0.0;0.0
0.0;0.0
0.0;0.0
0.09444660194174757;0.0
0.37778640776699035;0.0
0.8500194174757282;0.0
1.2278058252427186;0.0
1.5111456310679614;0.0
1.888932038834951;0.0
1.4166990291262136;0.0
0.7555728155339807;0.0
0.18889320388349512;0.0
0.7555728155339807;0.0
0.37778640776699035;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.09444660194174757;0.0
0.18889320388349512;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0628823529411765;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.188647058823529;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.8174705882352941;0.0
1.423448275862069;0.0
0.1897931034482759;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.09489655172413794;0.0
0.09489655172413794;0.0
0.1897931034482759;0.0
0.09489655172413794;0.0
0.0;0.0
0.09489655172413794;0.0
0.0;0.0
0.3795862068965517;0.0
0.5693793103448276;0.0
0.47448275862068967;0.0
1.0438620689655174;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.1897931034482759;0.0
0.6642758620689655;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;0.0
